Nombre,Tipo Espectral,Masa (M☉),Radio (R☉),Luminosidad (L☉)
Sirio,A1V,2.1,1.7,25.0
Canopus,F0Ib,8.5,71.0,10700.0
Rigil Kentaurus,G2V/GJ/K1V,1.1,1.2,1.5
Arcturus,K1.5III,1.1,25.0,170.0
Vega,A0V,2.1,2.3,40.0
Capella,G5III/G0III,2.6,12.0,78.0
Rigel,B8Ia,21.0,78.0,120000.0
Procyon,F5IV-V,1.5,2.0,7.0
Achernar,B6Vep,6.7,7.3,3150.0
Betelgeuse,M1-M2Ia-Iab,11.6,887.0,126000.0
Hadar,B1III,12.5,9.0,52000.0
Altair,A7V,1.8,1.8,10.6
Acrux,B0.5IV,17.8,8.4,25000.0
Aldebarán,K5III,1.2,44.2,518.0
Antares,M1.5Iab-Ib,12.4,680.0,75900.0
Spica,B1V,10.25,7.4,12100.0
Pollux,K0III,1.9,8.8,32.0
Fomalhaut,A3V,1.92,1.84,16.6
Deneb,A2Ia,19.0,203.0,196000.0
Mimosa,B0.5III,16.0,8.4,34000.0
Regulus,B7V,3.8,3.1,288.0
Adhara,B2II,12.5,14.0,20000.0
Shaula,B2IV,14.5,8.8,36000.0
Castor,A1V,2.15,2.4,33.0
Gacrux,M3.5III,1.5,84.0,1500.0
Bellatrix,B2III,8.6,5.8,6400.0
Elnath,B7III,5.0,5.4,700.0
Miaplacidus,A2IV,3.5,6.8,1100.0
Alnilam,B0Ia,40.0,32.4,275000.0
Alnair,B7IV,4.0,4.8,520.0
Alnitak,O9.5Ib,33.0,20.0,250000.0
Sargas,F1II,5.7,26.0,1834.0
Kaus Australis,B9.5III,3.5,6.8,375.0
Avior,K3III,8.5,160.0,5000.0
Alkaid,B3V,6.1,3.4,1300.0
Alhena,A1IV,2.8,3.3,123.0
Alsephina,A1V,2.5,2.6,70.0
Markab,B9V,4.5,5.4,200.0
Menkent,K0III,1.5,10.0,40.0
Atria,K2IIb,7.0,130.0,5500.0
Alpheratz,B8IVpMnHg,3.6,2.7,200.0
Dubhe,K0III,4.25,16.0,160.0
