Nombre,Tipo,Masa (M⊕),Radio (R⊕)
Sol,Estrella,333000.0,109.0
Júpiter,Planeta,317.8,11.2
Saturno,Planeta,95.2,9.4
Neptuno,Planeta,17.1,3.9
Urano,Planeta,14.5,4.0
Tierra,Planeta,1.0,1.0
Venus,Planeta,0.815,0.95
Marte,Planeta,0.107,0.53
Mercurio,Planeta,0.055,0.38
Luna,Satélite,0.0123,0.27
Ganimedes,Satélite,0.025,0.41
Titán,Satélite,0.0225,0.4
Calisto,Satélite,0.018,0.38
Io,Satélite,0.015,0.29
Europa,Satélite,0.008,0.24
Tritón,Satélite,0.0036,0.21
Plutón,Planeta Enano,0.0022,0.18
Eris,Planeta Enano,0.0028,0.18
Haumea,Planeta Enano,0.0007,0.14
Makemake,Planeta Enano,0.0007,0.14
